房源编号,名称1,户型,月租,付款方式,租赁方式,面积,朝向,维护,楼层,车位,租期,入住,电梯,描述,地铁站,离地铁站距离,网站,名称,区,街道,小区
房源编号：SH2760960190462296064,整租·一品国际,2室1厅,9800,(季付价),整租,60㎡,北,12天前,中楼层/7层,暂无数据,暂无数据,随时入住,有,无信息,7号线 - 岚皋路,1028m,http://sh.lianjia.com/zufang/SH2760960190462296064.html,"
          整租·一品国际 2室1厅 北        ",普陀,光新,一品国际
房源编号：SH2761573641673252864,整租·万科启宸,3室2厅,4800,(季付价),整租,95㎡,东南 南 北,6天前,高楼层/17层,暂无数据,1年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2761573641673252864.html,"
          整租·万科启宸 3室2厅 东南/南/北        ",宝山,罗泾,万科启宸
房源编号：SH2761683577342541824,整租·前滩东方逸品,1室2厅,10500,(季付价),整租,58㎡,西南,5天前,中楼层/33层,暂无数据,3年以内,2021/6/1,有,"【房源亮点】<br />
小区少数在租一房，开发商精装交付，品质好，随时入住，一房户型。<br />
<br />
【装修描述】<br />
本小区的房子是开发商统一精装修，带中yang空调，大金品牌。带新风。燃气灶、油烟机、烤箱、 冰箱等家电品牌为smeg，厨房也有压力储水罐和净水器<br />
<br />
【交通出行】<br />
前滩东方逸品位于海阳西路500弄，近东育路、杨思西路，距离南北高架延伸线济阳 路入口/中环入口0.86公里，距离东方体育zhong心地铁站（6、8、11三线交轨） 380米（数据来源：百度地图），交通便利。<br />
<br />
【出租原因】<br />
业主长期出国，空置出租，业主这边诚意出租，长期出租，租期稳定。<br />
<br />
【周边配套】<br />
有上海纽约大学前滩分校，莱佛士医院，基督教涌恩堂，法华学问寺，前滩企业天地 办公楼已崛起，世界500强企业已入驻，在建信德文化center还有前滩休闲公园，前滩体育公园，前滩友城公园，滨江大道（漫步道、跑步道、自行车道）等，适合周末搭帐篷<br />
<br />
【小区介绍】<br />
前滩东方逸品位于海阳西路500弄，近东育路、杨思西路，陆家嘴物业，小区有2幢楼4个楼号组成，有地下三层停车库，电梯直达。小区北边是香格里拉酒店、太古里和前滩中xin，小区南边是上海纽约大学前滩分校（在建）。<br />
<br />
",6号线 - 灵岩南路,365m,http://sh.lianjia.com/zufang/SH2761683577342541824.html,"
          整租·前滩东方逸品 1室2厅 西南        ",浦东,杨思前滩,前滩东方逸品
房源编号：SH2761642610082201600,整租·宜浩公馆,2室2厅,4500,(季付价),整租,56㎡,南 北,2天前,高楼层/6层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
精装修拎包入住，户型方正，复式格局，动静分离，适合居家；采光充足，视野开阔，景观房；交通便利，临港全通；配套成熟，有菜市场，各大商超，美食城；业主室内保养很好，配套家具满足您的需求。<br />
<br />
【户型介绍】<br />
本房是精装修复式两房，楼上楼下都有卫生间，方便生活，楼下主要功能间是厨房，餐厅、客厅、卫生间；大客厅朝南，落地窗，采光充足，落地窗外是阳台，阳台还带一个菜地，可以种些自己喜欢的蔬菜。楼上主要功能间是：主卧和次卧，以及卫生间，窗户很大<br />
<br />
【周边配套】<br />
小区地段优越，门口就有公交站，临港全通，想象不到的便利；小区旁边就是美食城，百联商场（高德地图上可见），新天地商场，宜浩商场，方便生活。公园配套：滴水湖、南汇城市公园，春花秋色公园 ，医疗配套：上海市第六人民医院东院（三甲）。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2761642610082201600.html,"
          整租·宜浩公馆 2室2厅 南/北        ",浦东,临港新城,宜浩公馆
房源编号：SH2761702202090192896,整租·棕榈泉花园,4室3厅,39900,(季付价),整租,367㎡,南,2天前,低楼层/3层,暂无数据,暂无数据,随时入住,无,"【房源亮点】<br />
精装修，带墙暖，住家轻办公都可接纳。随时可起租，拎包入住。可长租2-3年。<br />
<br />
【户型介绍】<br />
北进门南花园，花园占地约200平。一期房源，地上三层地下一层，地下室120-130平，层高略低。一楼客厅挑空，餐客厅分离，餐厅可观花园及人工小河，一房榻榻米装修，可供会客娱乐。二楼两房，三楼主卧带大露台。四房均朝南，采光好。户型方正。<br />
<br />
【出租原因】<br />
业主是教育机构老板，因工作原因，该房源将空置，所以将其出租。<br />
<br />
",2号线 - 唐镇,993m,http://sh.lianjia.com/zufang/SH2761702202090192896.html,"
          整租·棕榈泉花园 4室3厅 复式 南        ",浦东,唐镇,棕榈泉花园
房源编号：SH2761605080833589248,整租·平顺路825弄,2室1厅,5200,(季付价),整租,61㎡,南,2天前,中楼层/13层,暂无数据,1年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2761605080833589248.html,"
          整租·平顺路825弄 2室1厅 南        ",静安,彭浦,平顺路825弄
房源编号：SH2761598841320390656,整租·武宁一村,1室1厅,4700,(季付价),整租,23㎡,南,7天前,低楼层/6层,暂无数据,1年以内,2021/5/31,无,"【交通出行】<br />
距离3号、4号、7号线镇坪路站750米左右； 2公交：旁边公交有01路105路、106路、319路、321路、36路、40路、63路、63路区间、742路等 3主要交通枢纽距离上海火车站、上海长途汽车客运总站3公里左右<br />
<br />
【周边配套】<br />
小区环境优雅，东大门边就是12000平的普陀公园，公园前面就是苏州河，茶后饭后可以和家人散步欣赏苏州河美景，陶冶情操！吃喝玩乐也近在咫尺，我格广场、亚新生活广场、乐购超市、环球港等等，医疗服务完善：普陀医院、普陀人民医院等等！<br />
交通出行<br />
<br />
【小区介绍】<br />
配套齐全，小区位于武宁路小 学对 面，接送孩子方便......<br />
<br />
","3号线,4号线,7号线 - 镇坪路",891m,http://sh.lianjia.com/zufang/SH2761598841320390656.html,"
          整租·武宁一村 1室1厅 南        ",普陀,武宁,武宁一村
房源编号：SH2761560220160499712,整租·凌四小区,1室1厅,4300,(季付价),整租,42㎡,南,5天前,高楼层/6层,暂无数据,1年以内,随时入住,无,"【房源亮点】<br />
家具齐全，拎包入住，简单干净，房东人挺好的，相处会很愉快。。。<br />
<br />
【交通出行】<br />
小区周 边生活服务配套较为齐全 公立医院/栖山农贸市场（菜市场）/6号线和在建14号线地铁站/联华超市/农业和中国银行/旭辉新构想广场 配套成熟<br />
<br />
【出租原因】<br />
房东有其他房子住，房间空置，适合一个人或者情侣两个人/一家人居住。<br />
<br />
【周边配套】<br />
小区周 边生活服务配套较为齐全 公立医院/栖山农贸市场（菜市场）/6号线和在建14号线地铁站/联华超市/农业和中国银行/旭辉新构想广场 配套成熟<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2761560220160499712.html,"
          整租·凌四小区 1室1厅 南        ",浦东,洋泾,凌四小区
房源编号：SH2762196795231567872,整租·花苑村梅花园,2室1厅,6000,(季付价),整租,60㎡,南,今天,高楼层/6层,暂无数据,1年以内,随时入住,无,"【户型介绍】<br />
双南卧室，且卧室差不多大，有客厅，卫生间新做吊顶，装修不错,还在门口新加了地毯，很用心<br />
<br />
【出租原因】<br />
房东有多套房源，均出租，房东很合作，价格可谈，有不喜欢的家具家电可换<br />
<br />
【周边配套】<br />
门口就有公交站，距离地铁一号线锦江乐园站仅800多米，300米的地方就有公园，环境好<br />
<br />
",1号线 - 锦江乐园,891m,http://sh.lianjia.com/zufang/SH2762196795231567872.html,"
          整租·花苑村梅花园 2室1厅 南        ",徐汇,康健,花苑村梅花园
房源编号：SH2761591084592136192,整租·檀香花苑(公寓),2室2厅,4800,(季付价),整租,88㎡,南,1天前,高楼层/6层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2761591084592136192.html,"
          整租·檀香花苑(公寓) 2室2厅 南        ",松江,松江新城,檀香花苑(公寓)
房源编号：SH2761593273616171008,整租·正荣国领(别墅),5室3厅,17800,(季付价),整租,175㎡,南,14天前,低楼层/3层,暂无数据,暂无数据,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2761593273616171008.html,"
          整租·正荣国领(别墅) 5室3厅 南        ",宝山,罗店,正荣国领(别墅)
房源编号：SH2762183829882929152,整租·海上风华,3室2厅,3500,(季付价),整租,90㎡,南 北,今天,中楼层/5层,暂无数据,暂无数据,随时入住,无,"【交通出行】<br />
距离16号线滴水湖站和临港大道地铁站1.5公里左右，小区门口有申港1路，申港3路（环湖西三路临港大道站）。<br />
<br />
【周边配套】<br />
位于临港主城区，邻一湖三环带距离地铁16号线滴水湖站和临港大道地铁站约1.5公里，交通便利，小区旁边有海昌海洋公园、天文馆（在建）、冰雪世界（在建）、城市公园等项目。上海市第六人民医院东院按、联华超市。<br />
<br />
【小区介绍】<br />
绿地集团开发商的品质小区，别墅品质，物业服务好，小区环境优美绿化高，次新房。<br />
<br />
",16号线 - 临港大道,1102m,http://sh.lianjia.com/zufang/SH2762183829882929152.html,"
          整租·海上风华 3室2厅 南/北        ",浦东,临港新城,海上风华
房源编号：SH2762143808505520128,整租·中环一号(二期),1室1厅,4200,(季付价),整租,52㎡,南,5天前,高楼层/18层,租用车位,2年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2762143808505520128.html,"
          整租·中环一号(二期) 1室1厅 南        ",宝山,大华,中环一号(二期)
房源编号：SH2754211657524977664,整租·河滨豪园,4室2厅,30000,(季付价),整租,174㎡,南 北,9天前,低楼层/32层,租用车位,1年以内,2021/5/15,有,无信息,"10号线(新江湾城-虹桥火车站),12号线,10号线(新江湾城-航中路) - 天潼路",507m,http://sh.lianjia.com/zufang/SH2754211657524977664.html,"
          整租·河滨豪园 4室2厅 南/北        ",静安,西藏北路,河滨豪园
房源编号：SH2754336947316203520,整租·阳光名邸,3室2厅,18000,(季付价),整租,153㎡,南,2天前,低楼层/18层,租用车位,3年以内,随时入住,有,"【户型介绍】<br />
阳光名邸大三房 三间卧室 一个客厅一个餐厅 一间厨房和卫生间，户型方正 朝南户型采光好<br />
<br />
【交通出行】<br />
近虹桥路站3/4/10号线地铁站，3/4/9号线宜山路地铁站 交通便利<br />
<br />
【周边配套】<br />
小区外有汇京国际广场购物广场，港汇恒隆广场，光启城， 比较繁华<br />
<br />
","3号线,4号线,10号线(新江湾城-虹桥火车站),10号线(新江湾城-航中路) - 虹桥路",198m,http://sh.lianjia.com/zufang/SH2754336947316203520.html,"
          整租·阳光名邸 3室2厅 南        ",徐汇,徐家汇,阳光名邸
房源编号：SH2754295127815503872,整租·卓越世纪中心(奉贤),2室1厅,1200,(季付价),整租,53㎡,南,9天前,高楼层/18层,暂无数据,暂无数据,随时入住,有,无信息,5号线 - 奉贤新城,877m,http://sh.lianjia.com/zufang/SH2754295127815503872.html,"
          整租·卓越世纪中心(奉贤) 2室1厅 南        ",奉贤,南桥,卓越世纪中心(奉贤)
房源编号：SH2754221923528613888,整租·渔光邨,3室1厅,11000,(季付价),整租,25㎡,南 西南,7天前,中楼层/4层,暂无数据,3年以内,随时入住,无,"【装修描述】<br />
精装修，采光好，家具齐全，现代化家具，全装全配，随时可以拎包入住。<br />
<br />
【交通出行】<br />
2号11号线江苏路站步行5min，出门左转延安高架，71路镇宁路公交站，交通方便<br />
<br />
【周边配套】<br />
出小区门口就有水果超市，家乐福超市，旁边菜场菜类品种齐全，走几步就到东诸安浜路，老盛昌，唐宫坐落于此，吃喝玩乐方便，档次参差不齐，银行有中国银行，中国工商银行等，医院有华东医院。<br />
<br />
","2号线,11号线(嘉定北-迪士尼),11号线(花桥-迪士尼) - 江苏路",295m,http://sh.lianjia.com/zufang/SH2754221923528613888.html,"
          整租·渔光邨 3室1厅 南/西南        ",长宁,镇宁路,渔光邨
房源编号：SH2754328414147592192,整租·象屿上海年华,3室2厅,5300,(季付价),整租,92㎡,南,今天,高楼层/8层,暂无数据,2年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2754328414147592192.html,"
          整租·象屿上海年华 3室2厅 南        ",松江,莘闵别墅,象屿上海年华
房源编号：SH2754164254499143680,整租·陆家嘴滴水涟岸,3室2厅,6900,(季付价),整租,127㎡,南,今天,高楼层/14层,免费使用,1年以内,随时入住,无,"【户型介绍】<br />
2房2卫的设计，很符合现代人对生活品质的要求，即不拥挤，有2卫又能满足一家人需求。<br />
<br />
【装修描述】<br />
全新的，清爽干净，精致装修，免费送一次保洁，完全可以做到拎包入住。<br />
<br />
【出租原因】<br />
现在是空置的，看房方便，提前预约就可以看房，希望租给爱干净的有缘人士。<br />
<br />
",16号线 - 滴水湖,776m,http://sh.lianjia.com/zufang/SH2754164254499143680.html,"
          整租·陆家嘴滴水涟岸 3室2厅 南        ",浦东,临港新城,陆家嘴滴水涟岸
房源编号：SH2754294943525634048,整租·锦泰苑,2室2厅,5200,(季付价),整租,83㎡,南,3天前,低楼层/6层,暂无数据,暂无数据,随时入住,无,无信息,15号线 - 锦秋路,201m,http://sh.lianjia.com/zufang/SH2754294943525634048.html,"
          整租·锦泰苑 2室2厅 南        ",宝山,上大,锦泰苑
房源编号：SH2754337636616781824,整租·嘉发大厦,3室2厅,22000,(季付价),整租,137㎡,南 北,12天前,低楼层/33层,租用车位,3年以上,随时入住,有,"【户型介绍】<br />
三室两厅一厨两卫，厅朝东朝南；两房朝南，一房朝东；厅很大；装修简洁大方，闹中取静<br />
<br />
【交通出行】<br />
交通便利，步行8minute可达地铁13号线自然博物馆站，步行10minute可达地铁南京西路站（2号线、12号线、13号线）；还有多条公交线路经过；<br />
<br />
【周边配套】<br />
配套齐全，小区地理位置优越，出门就是静安雕塑公园，步行5minute即可到达南京西路，各大银行，梅恒泰一应俱全<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2754337636616781824.html,"
          整租·嘉发大厦 3室2厅 南/北        ",静安,南京西路,嘉发大厦
房源编号：SH2749835447953276928,整租·中海万锦城(二期),2室2厅,13500,(季付价),整租,80㎡,南,3天前,中楼层/17层,暂无数据,2年以内,随时入住,有,无信息,"1号线,3号线,4号线 - 上海火车站",245m,http://sh.lianjia.com/zufang/SH2749835447953276928.html,"
          整租·中海万锦城(二期) 2室2厅 南        ",静安,不夜城,中海万锦城(二期)
房源编号：SH2750046978464825344,整租·德玛公寓,2室2厅,18000,(季付价),整租,108㎡,南 北,5天前,高楼层/11层,暂无数据,1年以内,随时入住,有,"【户型介绍】<br />
年轻白领与朋友合租或者家长陪读也是不错的选择。因为安装排油烟机，租户可以做饭，业主希望租客能尽量长租<br />
<br />
【装修描述】<br />
卧室两面窗户，采光面积大，无遮挡，全屋采光都很好，玻璃全部才用的双层真空隔音玻璃，给您一个舒心愉悦的居住体验<br />
<br />
【出租原因】<br />
业主多余房产，即将去其他地方居住，希望能遇到一个高素质的租客，期待有缘的客户<br />
<br />
",9号线 - 打浦桥,535m,http://sh.lianjia.com/zufang/SH2750046978464825344.html,"
          整租·德玛公寓 2室2厅 南/北        ",黄浦,打浦桥,德玛公寓
房源编号：SH2749807729257488384,整租·贝港南区（八区）,2室1厅,2300,(季付价),整租,78㎡,南,6天前,高楼层/6层,暂无数据,暂无数据,随时入住,无,"【装修描述】<br />
采光充足，厨房干净，双南卧室的简装两房。卧室客厅都有空调，八成新沙发，家具家电配备齐全，可拎包入住。<br />
<br />
【出租原因】<br />
业主不在这边工作，房屋是空置的，诚意想出租。业主是夫妻，好相处。<br />
<br />
【周边配套】<br />
老工业楼，交通方便，配套齐全。距离大润发500m，步行大约6min，菜场和生鲜超市就在小区门口。五百米内的公交站可乘坐奉贤1路、奉贤2路、奉贤4路、奉贤5路、奉贤8路、奉贤12路、奉贤32路，出行便利快捷。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749807729257488384.html,"
          整租·贝港南区（八区） 2室1厅 南        ",奉贤,南桥,贝港南区（八区）
房源编号：SH2749254041862144000,整租·依云湖,3室2厅,3000,(季付价),整租,83㎡,南 北,3天前,低楼层/17层,免费使用,1年以内,随时入住,无,"【房源亮点】<br />
小区楼间距长，通风和采光好，前后无遮挡，各功能间布局合理。地下车库有新能源充电桩。<br />
<br />
【装修描述】<br />
小区2019年开盘，2020年交付；有车位1015个，车位比1比1；环境优雅，高达35%；物业费2.5元/平/月；小区有儿童和老人健身器材。<br />
<br />
【交通出行】<br />
交通：半小时莲卫专线可直达金山卫小火车站；金山卫直达上海南站；金山北站可直达虹桥火车站。<br />
<br />
【出租原因】<br />
房东购买过来非刚需，可以长期出租，希望寻找稳定爱护房源的租客。<br />
<br />
【周边配套】<br />
交通：莲卫专线可直达金山卫小火车站；商/超市：万达百联十一公里左右；公园：金水湖湿地公园/新城公园/城市沙滩公园 教育：杭州湾双语<br />
<br />
【小区介绍】<br />
小区2019年开盘，2020年交付；有车位1015个，车位比1比1；环境优雅，高达35%；物业费2.5元/平/月；小区有儿童和老人健身器材。<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749254041862144000.html,"
          整租·依云湖 3室2厅 南/北        ",金山,金山,依云湖
房源编号：SH2749246406031319040,整租·久阳滨江公寓,1室1厅,9500,(季付价),整租,70㎡,南,1天前,中楼层/25层,租用车位,1年以内,随时入住,有,"【房源亮点】<br />
陆家嘴06年次新房，70平方米的复式小户型，布局合理动静分明，客厅、卧室、厨房均可采光通风，标准层高达3米。地段优势：毗.邻浦东南路、临.近八佰伴商圈，交通、商.业等优势鲜明。地处潍坊地区，居住氛围亦很浓厚。<br />
<br />
【交通出行】<br />
地铁2号线东昌路站、4号线塘桥路站、6号线浦电路东方路站、9号线商城路站，以及10多条公交线路可达市郊区各地<br />
<br />
【周边配套】<br />
餐饮：上海针织品总汇。医院：和本堂中医门诊部 、东方国际医院。小区楼下就是潍坊西路，上海湾盒马生鲜、杨家渡菜场、紧靠八佰伴和新梅联合广场<br />
<br />
【小区介绍】<br />
小区是2006年建成的，只有一栋带小区绿化，地下车位充足，开发商统一装修复式房 生活交通便利。小区边上有酒吧，正大广场 、J.LIFE金茂时尚生活 、福佑商厦 、悦园商厦 、城隍庙购物 、福民商厦 。<br />
<br />
",9号线 - 商城路,916m,http://sh.lianjia.com/zufang/SH2749246406031319040.html,"
          整租·久阳滨江公寓 1室1厅 南        ",浦东,陆家嘴,久阳滨江公寓
房源编号：SH2749939223498072064,整租·长泰东郊御园(别墅),4室2厅,13650,(季付价),整租,189㎡,南,3天前,低楼层/3层,暂无数据,1年以内,随时入住,无,"【交通出行】<br />
小区是18号线，16号线双规。距离18号线是航头站1.2公里，距离16号线是航头东站2.5公里。门口有公交直达地铁站<br />
<br />
【周边配套】<br />
小区1.1公里有苏杭生活广场。距离2.5公里有个新开的新环广场体量8万方。往前有周浦万达广场。医院有航头医院。<br />
<br />
【小区介绍】<br />
小区是15年的商品房，距离18号线航头路地铁站1.2公里，16号线航头头东站2.5公里。小区主要别墅区。房子密度低，居住环境好<br />
<br />
",无信息,无信息,http://sh.lianjia.com/zufang/SH2749939223498072064.html,"
          整租·长泰东郊御园(别墅) 4室2厅 南        ",浦东,航头,长泰东郊御园(别墅)
房源编号：SH2749363792654630912,整租·象屿品城,3室2厅,6500,(季付价),整租,93㎡,南 北,今天,低楼层/11层,暂无数据,2年以内,随时入住,有,"【户型介绍】<br />
小区三房的飞机户型，两房朝南，一房朝北，南北通透，南临河。动静分明，三个房间互不干扰，客厅带阳台，户型十分正气。<br />
<br />
【交通出行】<br />
1.小区自带班车，到莘庄地铁站和七莘路地铁站， 2.小区门口是松江44路的公交站到九亭地铁站。 3.小区出门口就是闵松公路，朝西可上G60沪昆高速，往东可通过莘庄立交上外环高速。往北可上嘉闵高架<br />
<br />
【出租原因】<br />
租客到期不租了要退租，房东现在要重新挂牌出租，不想房源空置！<br />
<br />
【周边配套】<br />
1.医院：闵行瑞金医院，新桥社区医院 2.银行：中国邮政银行，中国建设银行，中国银行，工商银行 3.生活：亚繁亚乐城，彩生活广场，巴比伦广场，浅水湾生活广场 4.交通：松江44路，125路b线，小区班车直达莘庄地铁站和七莘路地铁站<br />
<br />
【小区介绍】<br />
1.2014-2015年建成的次新小区，新现代风格的外立面。 2.小区开发商是象屿地产，物业是复瑞物业，小区地址位于松江区九亭镇雪家桥路1弄。 3.小区总面积12万平方米，总栋数80栋， 4.地面全临时车位，地面150元/月，地下700起<br />
<br />
",12号线 - 七莘路,947m,http://sh.lianjia.com/zufang/SH2749363792654630912.html,"
          整租·象屿品城 3室2厅 南/北        ",松江,九亭,象屿品城
房源编号：SH2750138336302866432,整租·保利西子湾,2室2厅,5500,(季付价),整租,89㎡,南,8天前,中楼层/18层,暂无数据,1年以内,随时入住,有,无信息,9号线 - 松江大学城,652m,http://sh.lianjia.com/zufang/SH2750138336302866432.html,"
          整租·保利西子湾 2室2厅 南        ",松江,松江大学城,保利西子湾
房源编号：SH2749822868136402944,整租·江桥一村,1室1厅,3500,(季付价),整租,40㎡,南,2天前,高楼层/6层,暂无数据,1年以内,随时入住,无,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2749822868136402944.html,"
          整租·江桥一村 1室1厅 南        ",嘉定,江桥,江桥一村
房源编号：SH2749888301174628352,整租·一品漫城(五期),4室2厅,25000,(季付价),整租,662㎡,南 北,1天前,低楼层/1层,免费使用,3年以内,随时入住,无,"【房源亮点】<br />
面积超大，全新毛坯，距离大门近，出行方便，自带两个地下车位，停车方便<br />
<br />
【户型介绍】<br />
一层2个卧室，1个大客厅，1个大阳台，1个厨房，1个卫生间，还带地下室，二层1个卧室，1个大客厅，1个大阳台，2个卫生间<br />
<br />
【交通出行】<br />
近地铁八号线3号口，小区门口是公交枢纽站，有闵行12路，39路，浦江4路等。还有滴滴打车多种出行方式可供选择，门口浦星公路可以直接上中环。<br />
<br />
【出租原因】<br />
业主不在这边住，房屋空置，所以选择对外出租，出租期最长三年，不能养宠物<br />
<br />
【周边配套】<br />
南边3公里处有大型家乐福，北边一公里处有农贸产品批发市场，配套娱乐一应俱quan，5公里有仁济南院，健康医疗有保障，小区南门出去，是一条一品漫城自带shang业街。<br />
<br />
【小区介绍】<br />
一品漫城的开发商是鹏欣集团，物业是春川物业，小区每个入口都有一个单独的门岗，24小时巡逻 ，小区绿化高，停车位充足，早起可以在小区晨练。<br />
<br />
",8号线 - 芦恒路,264m,http://sh.lianjia.com/zufang/SH2749888301174628352.html,"
          整租·一品漫城(五期) 4室2厅 南/北        ",闵行,浦江,一品漫城(五期)
房源编号：SH2749235491806117888,整租·金露苑,3室2厅,15000,(季付价),整租,150㎡,南,2天前,高楼层/14层,租用车位,3年以内,随时入住,有,"【房源亮点】<br />
房子中高楼层采光充足，房子装修不错，拎包入住，房东之前是自住的，保养好，看房方便<br />
<br />
【户型介绍】<br />
中高楼层，，采光视野好，南北通透三开间朝南，南北双阳台。。。<br />
<br />
【装修描述】<br />
房子装修不错，房东之前自己住的，比较的爱惜，拎包入住，看房随时<br />
<br />
【交通出行】<br />
该小区出门即是地铁六号线民生路地铁口，一站到到达2、4、6、9四线交汇的世纪大道站，出行很方便，四个门还有若干条公交线路<br />
<br />
【出租原因】<br />
房东有其他房子用，这套用不着，空置可惜，忍痛出租，希望找一个爱惜房子的有缘人。<br />
<br />
【周边配套】<br />
购物：时代广场、八佰伴、家乐福、易初莲花 银行：工商银行 医院：浦发医院、公利医院 餐饮：香港菜 、鼓浪屿餐厅 、汤豪仕汤馆、汉通海鲜大酒店 菜场：栖山菜市场 、都市菜园苗圃店<br />
<br />
",6号线 - 民生路,383m,http://sh.lianjia.com/zufang/SH2749235491806117888.html,"
          整租·金露苑 3室2厅 南        ",浦东,梅园,金露苑
房源编号：SH2749905225560637440,整租·心圆东苑,3室1厅,5500,(季付价),整租,100㎡,南,6天前,低楼层/15层,租用车位,3年以内,随时入住,有,无信息,无信息,无信息,http://sh.lianjia.com/zufang/SH2749905225560637440.html,"
          整租·心圆东苑 3室1厅 南        ",浦东,川沙,心圆东苑
房源编号：SH2749247777744887808,整租·爱俪轩,1室1厅,12500,(季付价),整租,83㎡,南,今天,高楼层/38层,暂无数据,1年以内,随时入住,有,"【装修描述】<br />
精装修一室一厅一厨一卫，业主精装修，品牌家装，带有一个小阳台。<br />
<br />
【交通出行】<br />
江苏路地铁站800米的距离2号线和11号线，出门便可上延安高架，步行到静安寺<br />
<br />
【小区介绍】<br />
爱俪轩小区隶属于上海市静安区商圈优质小区，开发商为爱俪发展（上海）有限公司，共有1栋住宅，370余户居民住宅，以板楼为主，此小区优点是环境优雅，地理位置优越，商超医院银行等<br />
<br />
","2号线,11号线(嘉定北-迪士尼),11号线(花桥-迪士尼) - 江苏路",848m,http://sh.lianjia.com/zufang/SH2749247777744887808.html,"
          整租·爱俪轩 1室1厅 南        ",静安,静安寺,爱俪轩
房源编号：SH2749296003466403840,整租·万科天空之城二期云之谷,4室2厅,14500,(季付价),整租,155㎡,南,7天前,低楼层/31层,暂无数据,3年以上,随时入住,无,无信息,17号线 - 徐盈路,92m,http://sh.lianjia.com/zufang/SH2749296003466403840.html,"
          整租·万科天空之城二期云之谷 4室2厅 南        ",青浦,徐泾,万科天空之城二期云之谷
房源编号：SH2750075095014703104,整租·仁恒滨江园,3室2厅,24000,(季付价),整租,138㎡,西 西北,1天前,中楼层/9层,租用车位,3年以内,随时入住,有,"【户型介绍】<br />
户型方正  小高层房源 一梯两户<br />
<br />
【出租原因】<br />
闲置资产  业主很诚意出租  有钥匙随时可以看  装修也很不错<br />
<br />
【小区介绍】<br />
仁恒滨江园位处CBD—陆家嘴金融贸易区，仁恒置地开发，仁恒物业管理，花园式小区，仁恒滨江分3期开发，一期1999-2000年交房，二期2001年交房，三期2003-2004年交房。仁恒滨江园荣获上海市优秀住宅金奖，生态环境奖，优秀房型奖，<br />
<br />
",9号线 - 商城路,648m,http://sh.lianjia.com/zufang/SH2750075095014703104.html,"
          整租·仁恒滨江园 3室2厅 西/西北        ",浦东,陆家嘴,仁恒滨江园
房源编号：SH2750097058362040320,整租·金霞苑,2室2厅,6000,(季付价),整租,73㎡,南,今天,高楼层/6层,暂无数据,2年以内,随时入住,无,无信息,13号线 - 金运路,995m,http://sh.lianjia.com/zufang/SH2750097058362040320.html,"
          整租·金霞苑 2室2厅 南        ",嘉定,江桥,金霞苑
房源编号：SH2749940640602128384,整租·浦江红星国际广场（商业类）,1室1厅,12000,(季付价),整租,188㎡,南,14天前,中楼层/12层,暂无数据,暂无数据,随时入住,有,无信息,8号线 - 联航路,398m,http://sh.lianjia.com/zufang/SH2749940640602128384.html,"
          整租·浦江红星国际广场（商业类） 1室1厅 南        ",闵行,浦江,浦江红星国际广场（商业类）
房源编号：SH2749439149541949440,整租·誉品谷水湾,3室2厅,13000,(季付价),整租,171㎡,南,1天前,低楼层/17层,暂无数据,1年以内,随时入住,有,无信息,9号线 - 松江大学城,1010m,http://sh.lianjia.com/zufang/SH2749439149541949440.html,"
          整租·誉品谷水湾 3室2厅 南        ",松江,松江大学城,誉品谷水湾
